Location,Bedroom,Total_Sqft,Bathroom,Price,Price/Sqft
1st Block Jayanagar,4,2850.0,4.0,42800000,15017.54
1st Block Jayanagar,3,1630.0,3.0,19400000,11901.84
1st Block Jayanagar,3,1875.0,2.0,23500000,12533.33
1st Block Jayanagar,3,1200.0,2.0,13000000,10833.33
1st Block Jayanagar,2,1235.0,2.0,14800000,11983.81
1st Block Jayanagar,4,2750.0,4.0,41300000,15018.18
1st Block Jayanagar,4,2450.0,4.0,36800000,15020.41
1st Block Koramangala,2,1415.0,2.0,11000000,7773.85
1st Block Koramangala,2,860.0,2.0,6550000,7616.28
1st Block Koramangala,4,3000.0,3.0,30000000,10000.0
1st Block Koramangala,3,2350.0,3.0,21000000,8936.17
1st Block Koramangala,4,3000.0,5.0,50000000,16666.67
1st Phase JP Nagar,4,2825.0,4.0,25000000,8849.56
1st Phase JP Nagar,3,1875.0,3.0,16700000,8906.67
1st Phase JP Nagar,5,1500.0,5.0,8500000,5666.67
1st Phase JP Nagar,3,2065.0,4.0,21000000,10169.49
1st Phase JP Nagar,3,2024.0,3.0,15700000,7756.92
1st Phase JP Nagar,3,2059.0,3.0,22500000,10927.63
1st Phase JP Nagar,2,1394.0,2.0,10000000,7173.6
1st Phase JP Nagar,2,1077.0,2.0,9300000,8635.1
1st Phase JP Nagar,2,1566.0,2.0,18000000,11494.25
1st Phase JP Nagar,1,840.0,2.0,5000000,5952.38
1st Phase JP Nagar,3,1590.0,3.0,13100000,8238.99
1st Phase JP Nagar,3,2180.0,3.0,21000000,9633.03
1st Phase JP Nagar,2,1180.0,2.0,8850000,7500.0
1st Phase JP Nagar,2,1200.0,2.0,8600000,7166.67
1st Phase JP Nagar,2,1394.0,2.0,8500000,6097.56
1st Phase JP Nagar,3,2077.0,3.0,17500000,8425.61
1st Phase JP Nagar,4,4550.0,2.0,24000000,5274.73
1st Phase JP Nagar,2,1205.0,2.0,8500000,7053.94
1st Phase JP Nagar,4,2615.0,5.0,22200000,8489.48
1st Phase JP Nagar,2,900.0,2.0,7500000,8333.33
2nd Phase Judicial Layout,3,1450.0,2.0,5075000,3500.0
2nd Phase Judicial Layout,2,1150.0,2.0,4025000,3500.0
2nd Phase Judicial Layout,3,1350.0,2.0,4725000,3500.0
2nd Phase Judicial Layout,3,1350.0,2.0,4725000,3500.0
2nd Phase Judicial Layout,2,900.0,2.0,4100000,4555.56
2nd Phase Judicial Layout,3,1681.0,3.0,6900000,4104.7
2nd Phase Judicial Layout,3,1350.0,2.0,4725000,3500.0
2nd Phase Judicial Layout,2,1150.0,2.0,4025000,3500.0
2nd Stage Nagarbhavi,4,1500.0,4.0,22000000,14666.67
2nd Stage Nagarbhavi,4,1350.0,4.0,20000000,14814.81
2nd Stage Nagarbhavi,4,1200.0,4.0,22500000,18750.0
2nd Stage Nagarbhavi,4,1500.0,3.0,23000000,15333.33
5th Block Hbr Layout,2,1206.0,2.0,5600000,4643.45
5th Block Hbr Layout,3,1270.0,2.0,7000000,5511.81
5th Block Hbr Layout,2,1312.0,2.0,6900000,5259.15
5th Block Hbr Layout,2,1100.0,2.0,4800000,4363.64
5th Block Hbr Layout,5,3600.0,5.0,13000000,3611.11
5th Block Hbr Layout,6,5100.0,5.0,30000000,5882.35
5th Phase JP Nagar,2,1075.0,2.0,6000000,5581.4
5th Phase JP Nagar,2,1150.0,3.0,5250000,4565.22
5th Phase JP Nagar,2,1256.0,2.0,6280000,5000.0
5th Phase JP Nagar,2,1207.0,2.0,6300000,5219.55
5th Phase JP Nagar,3,1725.0,2.0,10000000,5797.1
5th Phase JP Nagar,2,1440.0,2.0,6000000,4166.67
5th Phase JP Nagar,3,1700.0,2.0,10000000,5882.35
5th Phase JP Nagar,3,1485.0,2.0,6700000,4511.78
5th Phase JP Nagar,5,2500.0,5.0,11000000,4400.0
5th Phase JP Nagar,1,600.0,1.0,3000000,5000.0
5th Phase JP Nagar,2,1390.0,2.0,6500000,4676.26
5th Phase JP Nagar,2,1256.0,2.0,6280000,5000.0
5th Phase JP Nagar,2,1000.0,2.0,4800000,4800.0
5th Phase JP Nagar,3,1350.0,2.0,7500000,5555.56
5th Phase JP Nagar,1,552.0,1.0,2350000,4257.25
5th Phase JP Nagar,2,1200.0,2.0,5100000,4250.0
5th Phase JP Nagar,3,1240.0,3.0,6000000,4838.71
5th Phase JP Nagar,3,1550.0,3.0,7500000,4838.71
5th Phase JP Nagar,3,1485.0,2.0,6600000,4444.44
5th Phase JP Nagar,2,1030.0,2.0,5700000,5533.98
5th Phase JP Nagar,2,1200.0,2.0,6800000,5666.67
5th Phase JP Nagar,2,1190.0,2.0,6180000,5193.28
5th Phase JP Nagar,5,4000.0,5.0,17000000,4250.0
5th Phase JP Nagar,2,1080.0,2.0,5300000,4907.41
5th Phase JP Nagar,2,1041.0,2.0,5400000,5187.32
5th Phase JP Nagar,2,812.0,2.0,4200000,5172.41
5th Phase JP Nagar,2,1010.0,2.0,5700000,5643.56
5th Phase JP Nagar,3,1450.0,2.0,7300000,5034.48
5th Phase JP Nagar,2,1075.0,2.0,6000000,5581.4
6th Phase JP Nagar,2,1192.0,2.0,7400000,6208.05
6th Phase JP Nagar,2,1180.0,2.0,8000000,6779.66
6th Phase JP Nagar,4,3245.0,4.0,25000000,7704.16
6th Phase JP Nagar,3,1645.0,3.0,10000000,6079.03
6th Phase JP Nagar,2,1140.0,2.0,6500000,5701.75
6th Phase JP Nagar,3,2040.0,3.0,20000000,9803.92
6th Phase JP Nagar,2,1213.0,2.0,6300000,5193.73
6th Phase JP Nagar,2,1216.0,2.0,6000000,4934.21
6th Phase JP Nagar,2,1460.0,2.0,8000000,5479.45
6th Phase JP Nagar,3,2003.0,3.0,20000000,9985.02
6th Phase JP Nagar,3,1810.0,3.0,13100000,7237.57
6th Phase JP Nagar,3,1515.0,2.0,13500000,8910.89
6th Phase JP Nagar,2,1192.0,2.0,7500000,6291.95
6th Phase JP Nagar,2,1280.0,2.0,8800000,6875.0
7th Phase JP Nagar,2,1080.0,2.0,7200000,6666.67
7th Phase JP Nagar,2,1270.0,2.0,9300000,7322.83
7th Phase JP Nagar,3,1420.0,2.0,10000000,7042.25
7th Phase JP Nagar,3,1850.0,3.0,15000000,8108.11
7th Phase JP Nagar,2,1245.0,2.0,9400000,7550.2
7th Phase JP Nagar,2,1175.0,2.0,8200000,6978.72
7th Phase JP Nagar,3,1400.0,2.0,9500000,6785.71
7th Phase JP Nagar,3,2225.0,3.0,16000000,7191.01
7th Phase JP Nagar,2,1050.0,2.0,7100000,6761.9
7th Phase JP Nagar,2,1100.0,2.0,4600000,4181.82
7th Phase JP Nagar,2,918.0,2.0,5049000,5500.0
7th Phase JP Nagar,3,1450.0,2.0,10000000,6896.55
7th Phase JP Nagar,2,1190.0,2.0,4998000,4200.0
7th Phase JP Nagar,3,1420.0,2.0,9600000,6760.56
7th Phase JP Nagar,3,1680.0,3.0,12000000,7142.86
7th Phase JP Nagar,2,980.0,2.0,6900000,7040.82
7th Phase JP Nagar,2,1180.0,2.0,7200000,6101.69
7th Phase JP Nagar,3,1050.0,2.0,5700000,5428.57
7th Phase JP Nagar,3,1343.0,2.0,5641000,4200.3
7th Phase JP Nagar,3,1405.0,2.0,5901000,4200.0
7th Phase JP Nagar,3,1400.0,3.0,11500000,8214.29
7th Phase JP Nagar,2,1270.0,2.0,8300000,6535.43
7th Phase JP Nagar,4,3300.0,4.0,15000000,4545.45
7th Phase JP Nagar,4,2503.0,4.0,18800000,7510.99
7th Phase JP Nagar,3,2200.0,3.0,19000000,8636.36
7th Phase JP Nagar,3,1250.0,3.0,6500000,5200.0
7th Phase JP Nagar,3,1385.0,2.0,5817000,4200.0
7th Phase JP Nagar,3,1575.0,2.0,11000000,6984.13
7th Phase JP Nagar,3,1850.0,3.0,14000000,7567.57
7th Phase JP Nagar,3,1575.0,2.0,12000000,7619.05
7th Phase JP Nagar,3,1850.0,3.0,15000000,8108.11
7th Phase JP Nagar,3,1680.0,3.0,12000000,7142.86
7th Phase JP Nagar,2,1175.0,2.0,8250000,7021.28
7th Phase JP Nagar,3,3300.0,4.0,16000000,4848.48
7th Phase JP Nagar,3,2200.0,4.0,10500000,4772.73
7th Phase JP Nagar,2,1215.0,2.0,9000000,7407.41
7th Phase JP Nagar,2,1050.0,2.0,7500000,7142.86
7th Phase JP Nagar,3,1300.0,3.0,8913000,6856.15
7th Phase JP Nagar,2,1130.0,2.0,7300000,6460.18
7th Phase JP Nagar,3,1450.0,3.0,10000000,6896.55
7th Phase JP Nagar,3,1350.0,3.0,5800000,4296.3
7th Phase JP Nagar,2,1050.0,2.0,5000000,4761.9
7th Phase JP Nagar,2,1275.0,2.0,8700000,6823.53
7th Phase JP Nagar,3,1460.0,3.0,7000000,4794.52
7th Phase JP Nagar,3,1650.0,3.0,11000000,6666.67
7th Phase JP Nagar,2,850.0,2.0,4200000,4941.18
7th Phase JP Nagar,3,1680.0,3.0,11700000,6964.29
7th Phase JP Nagar,3,1850.0,3.0,15000000,8108.11
7th Phase JP Nagar,2,1236.0,2.0,6133000,4961.97
7th Phase JP Nagar,2,1000.0,2.0,5300000,5300.0
7th Phase JP Nagar,3,1680.0,3.0,12500000,7440.48
7th Phase JP Nagar,3,1675.0,2.0,13500000,8059.7
7th Phase JP Nagar,2,1187.0,2.0,5900000,4970.51
7th Phase JP Nagar,3,1850.0,3.0,15500000,8378.38
7th Phase JP Nagar,2,1000.0,2.0,6100000,6100.0
7th Phase JP Nagar,3,1460.0,2.0,10000000,6849.32
7th Phase JP Nagar,3,1650.0,3.0,11000000,6666.67
7th Phase JP Nagar,2,1200.0,2.0,6250000,5208.33
7th Phase JP Nagar,2,1000.0,2.0,7065000,7065.0
7th Phase JP Nagar,2,1080.0,2.0,7500000,6944.44
7th Phase JP Nagar,3,1415.0,3.0,6500000,4593.64
7th Phase JP Nagar,3,1680.0,3.0,12500000,7440.48
7th Phase JP Nagar,3,1460.0,2.0,9700000,6643.84
7th Phase JP Nagar,2,1120.0,2.0,6500000,5803.57
7th Phase JP Nagar,2,1100.0,3.0,6000000,5454.55
7th Phase JP Nagar,3,1790.0,3.0,12000000,6703.91
7th Phase JP Nagar,3,1680.0,3.0,11700000,6964.29
7th Phase JP Nagar,2,1050.0,2.0,7700000,7333.33
7th Phase JP Nagar,2,1050.0,2.0,7500000,7142.86
7th Phase JP Nagar,2,1040.0,2.0,7500000,7211.54
7th Phase JP Nagar,3,1400.0,2.0,9500000,6785.71
7th Phase JP Nagar,3,1800.0,3.0,13000000,7222.22
7th Phase JP Nagar,2,1050.0,2.0,6800000,6476.19
7th Phase JP Nagar,2,1000.0,2.0,6000000,6000.0
7th Phase JP Nagar,3,1680.0,3.0,12500000,7440.48
7th Phase JP Nagar,2,1050.0,2.0,7747000,7378.1
7th Phase JP Nagar,2,1270.0,2.0,8000000,6299.21
7th Phase JP Nagar,3,1463.0,2.0,6145000,4200.27
7th Phase JP Nagar,3,1680.0,3.0,12200000,7261.9
7th Phase JP Nagar,2,1130.0,2.0,8500000,7522.12
7th Phase JP Nagar,3,1680.0,3.0,13000000,7738.1
7th Phase JP Nagar,2,980.0,2.0,7744000,7902.04
7th Phase JP Nagar,3,1680.0,3.0,11200000,6666.67
7th Phase JP Nagar,3,1515.0,2.0,7600000,5016.5
7th Phase JP Nagar,3,2095.0,3.0,15000000,7159.9
7th Phase JP Nagar,3,1976.0,3.0,14500000,7338.06
7th Phase JP Nagar,3,1600.0,2.0,11000000,6875.0
7th Phase JP Nagar,3,1765.0,3.0,11800000,6685.55
7th Phase JP Nagar,3,1275.0,2.0,8800000,6901.96
7th Phase JP Nagar,3,1450.0,2.0,10200000,7034.48
7th Phase JP Nagar,3,1575.0,2.0,11000000,6984.13
7th Phase JP Nagar,3,1075.0,2.0,5700000,5302.33
7th Phase JP Nagar,1,750.0,1.0,4700000,6266.67
7th Phase JP Nagar,2,990.0,2.0,5000000,5050.51
7th Phase JP Nagar,1,1000.0,1.0,6000000,6000.0
7th Phase JP Nagar,3,1680.0,2.0,9200000,5476.19
7th Phase JP Nagar,3,1430.0,2.0,10200000,7132.87
7th Phase JP Nagar,2,1128.0,2.0,6000000,5319.15
7th Phase JP Nagar,2,1140.0,2.0,5700000,5000.0
7th Phase JP Nagar,3,1420.0,3.0,9000000,6338.03
7th Phase JP Nagar,2,1530.0,2.0,10800000,7058.82
8th Phase JP Nagar,2,1073.5,2.0,5400500,5030.74
8th Phase JP Nagar,1,451.0,1.0,2990000,6629.71
8th Phase JP Nagar,3,1240.0,3.0,4350000,3508.06
8th Phase JP Nagar,2,1062.0,2.0,4247000,3999.06
8th Phase JP Nagar,3,1230.0,2.0,4350000,3536.59
8th Phase JP Nagar,3,1455.0,3.0,7331000,5038.49
8th Phase JP Nagar,2,871.0,2.0,5500000,6314.58
8th Phase JP Nagar,2,1098.0,2.0,4391000,3999.09
8th Phase JP Nagar,3,1800.0,3.0,8000000,4444.44
8th Phase JP Nagar,4,2700.0,4.0,13000000,4814.81
8th Phase JP Nagar,2,1080.0,2.0,3800000,3518.52
8th Phase JP Nagar,2,1059.0,2.0,3450000,3257.79
8th Phase JP Nagar,2,1080.0,2.0,3500000,3240.74
8th Phase JP Nagar,3,1275.0,2.0,4150000,3254.9
8th Phase JP Nagar,2,1062.0,2.0,4247000,3999.06
8th Phase JP Nagar,1,500.0,1.0,3100000,6200.0
8th Phase JP Nagar,2,1100.0,2.0,3500000,3181.82
8th Phase JP Nagar,4,2100.0,4.0,9200000,4380.95
8th Phase JP Nagar,2,1035.0,2.0,3933000,3800.0
8th Phase JP Nagar,2,909.0,2.0,4090000,4499.45
8th Phase JP Nagar,3,1431.5,3.0,7202000,5031.09
8th Phase JP Nagar,3,1900.0,4.0,9000000,4736.84
8th Phase JP Nagar,1,500.0,1.0,3000000,6000.0
8th Phase JP Nagar,2,1125.0,2.0,3694000,3283.56
8th Phase JP Nagar,2,1100.0,2.0,3500000,3181.82
8th Phase JP Nagar,2,1089.0,2.0,4355000,3999.08
8th Phase JP Nagar,3,1605.0,2.0,6500000,4049.84
8th Phase JP Nagar,3,1504.0,2.0,8300000,5518.62
8th Phase JP Nagar,4,2600.0,4.0,11500000,4423.08
8th Phase JP Nagar,3,1368.0,2.0,5471000,3999.27
8th Phase JP Nagar,2,1089.0,2.0,4355000,3999.08
8th Phase JP Nagar,3,1224.0,2.0,4895000,3999.18
8th Phase JP Nagar,2,1513.0,2.0,6200000,4097.82
8th Phase JP Nagar,2,1298.0,2.0,5900000,4545.45
8th Phase JP Nagar,2,1006.0,2.0,4400000,4373.76
8th Phase JP Nagar,1,500.0,1.0,3300000,6600.0
8th Phase JP Nagar,2,1160.0,2.0,9500000,8189.66
8th Phase JP Nagar,2,1245.0,2.0,5900000,4738.96
8th Phase JP Nagar,2,1510.0,2.0,8000000,5298.01
8th Phase JP Nagar,3,3300.0,3.0,16500000,5000.0
8th Phase JP Nagar,5,1730.0,5.0,7500000,4335.26
8th Phase JP Nagar,3,1296.0,2.0,5183000,3999.23
8th Phase JP Nagar,3,1275.0,3.0,4500000,3529.41
8th Phase JP Nagar,2,1046.0,2.0,4800000,4588.91
8th Phase JP Nagar,3,1269.0,2.0,5075000,3999.21
8th Phase JP Nagar,3,1408.0,3.0,8000000,5681.82
8th Phase JP Nagar,3,1500.0,2.0,5500000,3666.67
9th Phase JP Nagar,2,1005.0,2.0,5000000,4975.12
9th Phase JP Nagar,3,1890.0,2.0,8500000,4497.35
9th Phase JP Nagar,2,1100.0,2.0,6500000,5909.09
9th Phase JP Nagar,2,1080.0,2.0,3700000,3425.93
9th Phase JP Nagar,2,1035.0,2.0,4500000,4347.83
9th Phase JP Nagar,4,5000.0,4.0,29000000,5800.0
9th Phase JP Nagar,2,1164.0,2.0,5600000,4811.0
9th Phase JP Nagar,2,1005.0,2.0,4200000,4179.1
9th Phase JP Nagar,2,1127.0,2.0,5000000,4436.56
9th Phase JP Nagar,2,1005.0,2.0,4300000,4278.61
9th Phase JP Nagar,2,835.0,2.0,3700000,4431.14
9th Phase JP Nagar,2,1050.0,2.0,3900000,3714.29
9th Phase JP Nagar,2,660.0,2.0,2700000,4090.91
9th Phase JP Nagar,1,600.0,1.0,2000000,3333.33
9th Phase JP Nagar,2,1466.0,2.0,7100000,4843.11
9th Phase JP Nagar,3,1890.0,2.0,9300000,4920.63
9th Phase JP Nagar,2,1079.0,2.0,6000000,5560.7
9th Phase JP Nagar,2,1480.0,2.0,8000000,5405.41
9th Phase JP Nagar,2,1200.0,2.0,8000000,6666.67
9th Phase JP Nagar,2,905.0,2.0,3200000,3535.91
9th Phase JP Nagar,2,1073.0,2.0,5236000,4879.78
9th Phase JP Nagar,3,1719.3,2.0,8800000,5118.36
9th Phase JP Nagar,3,1780.0,3.0,8800000,4943.82
9th Phase JP Nagar,3,1300.0,2.0,5800000,4461.54
9th Phase JP Nagar,3,1522.0,3.0,9000000,5913.27
