,Price
8999,8400000
5178,4300000
2435,8600000
3784,8300000
5782,11000000
8220,4200000
7024,7500000
3262,5400000
7730,5210000
6787,4500000
7235,3500000
9153,5000000
6323,5900000
3569,4990000
4190,2601000
5018,4400000
2266,3249000
3937,3900000
623,3997999
9863,5500000
4085,7500000
5555,13500000
5082,8500000
4753,10800000
5119,5800000
8354,9800000
2160,4044000
4960,14000000
9955,9300000
8713,5000000
4595,16000000
155,9700000
8970,5500000
7740,7250000
2130,3990000
8115,14500000
3399,5000000
7263,3200000
2158,5500000
7613,6500000
8183,6000000
6989,15000000
9159,4645000
1562,3950000
560,1300000
8151,9600000
9855,4813000
6377,3760000
10059,10800000
572,8500000
35,4725000
5696,8600000
8468,6800000
5454,12000000
230,9500000
2250,3783000
2459,6200000
4313,5500000
8020,4930000
7965,24000000
1083,4200000
1884,3150000
666,6200000
903,6800000
4551,10200000
719,4500000
6421,7000000
9491,4000000
10119,6408000
8477,7500000
383,9500000
992,12000000
4773,11000000
1277,4200000
5278,7000000
5845,24000000
5404,10500000
745,5360000
5828,4379000
3014,5200000
6882,9000000
3321,6000000
9524,20400000
4976,8900000
6253,12500000
4622,7000000
9119,4759000
9277,7200000
1244,5811000
2412,5280000
3273,5400000
3754,4300000
315,7500000
4231,7850000
3346,4000000
5267,4800000
4432,5150000
9455,9500000
622,6600000
538,1100000
6610,5200000
9253,3482000
3723,7500000
4095,3500000
6162,18000000
8759,14700000
6650,9800000
3579,4360000
3055,14900000
6035,4000000
4779,9100000
3396,5700000
3942,4000000
3565,11200000
8158,18000000
2490,21800000
1699,14000000
1263,3700000
8687,11000000
9415,7800000
4338,5800000
1092,3654000
5824,4400000
4290,10500000
7013,7000000
6731,6199000
5426,11500000
8570,14200000
1356,3783000
3837,11200000
8801,7800000
6553,6000000
9871,3840000
7559,4100000
8818,4800000
6505,3500000
4873,7500000
3967,6500000
98,8200000
4722,4496000
2655,8000000
2444,3800000
9541,6000000
835,4500000
5026,8100000
971,6000000
7299,11000000
5768,4000000
631,5300000
4902,7500000
1770,4000000
1433,8540000
7271,46000000
2746,13500000
2485,10500000
2263,2888000
8247,12500000
2667,12500000
3957,7500000
4394,3100000
7009,34500000
6953,6900000
